Ids,UserName,FullName,Followers,Friends,Location,Created
555800349,RohanKuntoji,Rohan Kuntoji,34,71,"Mysore, India",Apr-2012
376825877,TwitterOSS,Twitter Open Source,322729,50,Twitter HQ,Sep-2011
70831441,soumithchintala,Soumith Chintala,70874,318,New York City,Sep-2009
2785337469,seb_ruder,Sebastian Ruder,34573,751,"London, England",Sep-2014
1076526138736951298,paperswithcode,Papers with Code,14671,44,"London, UK",Dec-2018
1004265866739867648,MCG_AI,Mysuru Consulting Group,16,19,"Mysuru, India",Jun-2018
775449094739197953,goodfellow_ian,Ian Goodfellow,158386,1077,"San Francisco, CA",Sep-2016
3018841323,odsc,Open Data Science,57760,26267,"Boston, MA",Feb-2015
216939636,AndrewYNg,Andrew Ng,436717,419,"Palo Alto, CA",Nov-2010
20167623,kdnuggets,KDnuggets,157906,413,"Brookline, MA, USA",Feb-2009
46245868,drob,David Robinson,39754,589,"New York, NY",Jun-2009
62513246,jk_rowling,J.K. Rowling,14662627,665,Scotland,Aug-2009
33838201,GoogleAI,Google AI,1380565,14,"Mountain View, CA",Apr-2009
991172011383803905,KuntojiSohan,Sohan Kuntoji,5,67,,May-2018
80422885,kaggle,Kaggle,159014,239,San Francisco,Oct-2009
863720408,chetrisunil11,Sunil Chhetri,1595922,127,,Oct-2012
2238652956,IndianFootball,Indian Football Team,516150,233,"AIFF Football House, New Delhi",Dec-2013
534563976,KirkDBorne,Kirk Borne,243823,15642,"Maryland, USA",Mar-2012
288100306,CHINMAY_HEBBAL,Chinmay,34,352,Bengaluru,Apr-2011
8515852,ageitgey,Adam Geitgey,13631,134,,Aug-2007
63873759,ThePSF,Python Software Foundation,276549,107,Everywhere Python is!,Aug-2009
254107028,TensorFlow,TensorFlow,172811,96,"Mountain View, CA",Feb-2011
96951800,FCBarcelona,FC Barcelona,30930757,79,Barcelona,Dec-2009
627673190,ChampionsLeague,UEFA Champions League,25016141,520,"Nyon, Vaud",Jul-2012
177547780,ICC,ICC,9703246,545,Dubai,Aug-2010
15639696,IPL,IndianPremierLeague,6599780,115,"Mumbai, India",Jul-2008
78941611,bhogleharsha,Harsha Bhogle,8375351,164,"Mumbai, India",Oct-2009
29873662,MKBHD,Marques Brownlee,3428519,340,NYC,Apr-2009
822215679726100480,POTUS,President Trump,26804417,39,"Washington, D.C.",Jan-2017
20536157,Google,Google,21517665,214,"Mountain View, CA",Feb-2009
57947109,Flipkart,Flipkart,2239698,29,India,Jul-2009
722214536460173312,IBMDataScience,IBM Data Science & AI,13210,776,"San Francisco, CA",Apr-2016
393033324,DataScienceCtrl,Data Science Central,152521,1108,"Los Angeles, CA",Oct-2011
303680301,ninadmg,Ninad M G,34,60,India,May-2011
185142711,BCCI,BCCI,9732161,74,India,Aug-2010
1282946089,amazonIN,Amazon.in,1491875,10,India,Mar-2013
15631238,Virgin,Virgin,243678,565,World Citizen,Jul-2008
3138727082,OnePlus_IN,OnePlus India,1849975,8,India,Apr-2015
775302652427014145,naanuunknownu,Rakshak S | ರಕ್ಷಕ್ ಎಸ್,103,406,"Mysore, India",Sep-2016
108252113,thevirdas,Vir Das,7866772,140,"Mumbai, Maharashtra",Jan-2010
19407053,Entrepreneur,Entrepreneur,3463102,1454,"Irvine, CA",Jan-2009
183230911,aliaa08,Alia Bhatt,19674342,234,,Aug-2010
54829997,AnushkaSharma,Anushka Sharma,20132005,129,,Jul-2009
71201743,imVkohli,Virat Kohli,31654577,53,,Sep-2009
8161232,richardbranson,Richard Branson,12664546,3893,,Aug-2007
1636590253,tim_cook,Tim Cook,11530862,66,Cupertino,Jul-2013
13298072,Tesla,Tesla,4259108,76,,Feb-2008
44196397,elonmusk,Elon Musk,28473165,81,,Jun-2009
944427851280826368,ChongderSoumak,Soumak Chongder,3,65,"Vijayanagar, Mysore",Dec-2017
471745066,Nikhil_Huilgol,Nikhil  P Huilgol,12,110,"Bagalkot, India",Jan-2012
872434564580294657,_a_s_h_i_k_a_,Ashika,8,34,Mangaluru,Jun-2017
1060849038,Sandeshhegde3,Sandesh Hegde,19,129,"Bengaluru, India",Jan-2013
937440997,Suhasraju5225,Suhas Raju,60,274,BANGALORE,Nov-2012
3007477369,bindusmitha8,Bindu smitha,14,33,"Bengaluru, India",Feb-2015
97865628,FarOutAkhtar,Farhan Akhtar,12202677,331,"Mumbai, India",Dec-2009
18681139,priyankachopra,PRIYANKA,25252833,546,,Jan-2009
51376979,sonamakapoor,Sonam K Ahuja,12679419,956,India,Jun-2009
101695592,deepikapadukone,Deepika Padukone,26502744,78,,Jan-2010
133880286,LeoDiCaprio,Leonardo DiCaprio,19211161,153,"Los Angeles, CA",Apr-2010
101311381,iamsrk,Shah Rukh Khan,38932820,79,,Jan-2010
31678307,MSNINENT,MSN Entertainment,6432,904,India,Apr-2009
14213195,msnindia,MSN India,29391,46,India,Mar-2008
92724677,virendersehwag,Virender Sehwag,19947018,141,India,Nov-2009
135421739,sachin_rt,Sachin Tendulkar,30551511,79,"ÜT: 18.986431,72.823769",Apr-2010
92708272,msdhoni,Mahendra Singh Dhoni,7730049,34,India,Nov-2009
18839785,narendramodi,Narendra Modi,50489276,2266,India,Jan-2009
48410093,TomCruise,Tom Cruise,6740721,53409,Worldwide,Jun-2009
155659213,Cristiano,Cristiano Ronaldo,80217624,51,"Turim, Piemonte",Jun-2010
113419517,iHrithik,Hrithik Roshan,26437644,90,,Feb-2010
145125358,SrBachchan,Amitabh Bachchan,38663364,1836,"Mumbai, India",May-2010
50393960,BillGates,Bill Gates,48153147,202,"Seattle, WA",Jun-2009
88856792,aamir_khan,Aamir Khan,25156209,9,Mumbai,Nov-2009
2981968107,ryan_p_adams,Ryan Adams,26299,872,,Jan-2015
33836629,karpathy,Andrej Karpathy,231814,507,Stanford,Apr-2009
48008938,ylecun,Yann LeCun,157351,231,New York,Jun-2009
175282603,jeremyphoward,Jeremy Howard,69888,1286,San Francisco,Aug-2010
3918111614,OriolVinyalsML,Oriol Vinyals,77859,48,"London, England",Oct-2015
765548,hmason,Hilary Mason,118024,1654,NYC,Feb-2007
15823641,mrtz,Moritz Hardt,8854,327,"Berkeley, CA",Aug-2008
3333052551,hugo_larochelle,Hugo Larochelle,72871,494,,Jun-2015
911297187664949248,JeffDean,Jeff Dean,118243,2156,,Sep-2017
14130366,sundarpichai,Sundar Pichai,2483187,336,,Mar-2008
471550563,amuellerml,Andreas Mueller,35869,894,NYC,Jan-2012
4783690002,DeepMindAI,DeepMind,258765,115,"London, UK",Jan-2016
130745589,drfeifei,Fei-Fei Li,324869,264,"Stanford, CA, U.S.A.",Apr-2010
118263124,stanfordnlp,Stanford NLP Group,81113,100,"Stanford, CA, USA",Feb-2010
14642896,petewarden,Pete Warden,18345,2014,"San Francisco, CA",May-2008
68746721,fchollet,François Chollet,162588,595,"Mountain View, CA",Aug-2009
121044171,ImRaina,Suresh Raina🇮🇳,16857878,300,India,Mar-2010
99448420,GautamGambhir,Gautam Gambhir,9938638,121,,Dec-2009
17163609,mrogati,Monica Rogati,48357,566,"Sunnyvale, CA",Nov-2008
153196789,ch402,Chris Olah,47210,172,"San Francisco, CA",Jun-2010
57928790,karanjohar,Karan Johar,16664147,485,"Maharashtra, India",Jul-2009
105710210,chintskap,Rishi Kapoor,3354356,27,"Home, Mumbai, India ",Jan-2010
113352671,deespeak,Dia Mirza,3056203,1075,India,Feb-2010
41364508,VishalDadlani,VISHAL DADLANI,2953993,455,Bloodywood,May-2009
83529586,PrannoyRoyNDTV,Prannoy Roy,758697,487,India,Oct-2009
1652526218,AnilKapoor,Anil Kapoor,4994313,60,"Mumbai, India",Aug-2013
53355887,atulkasbekar,atul kasbekar,953765,343,"ÜT: 18.986431,72.823769",Jul-2009
53555106,udaychopra,Uday Chopra,1481809,379,"Hell, 7th Fire, Oven 666",Jul-2009
68497896,RanveerOfficial,Ranveer Singh,12789980,862,Mumbai,Aug-2009
4575856758,CPMumbaiPolice,CP Mumbai Police,3353430,23,"Mumbai, Maharashtra",Dec-2015
2729506932,mrsfunnybones,Twinkle Khanna,5316236,88,,Aug-2014
87170183,juniorbachchan,Abhishek Bachchan,14707884,410,"Mumbai, India",Nov-2009
56631494,shahidkapoor,Shahid Kapoor,14494052,96,,Jul-2009
122928781,AzmiShabana,Azmi Shabana,3270467,271,"ÜT: 19.111431,72.823609",Mar-2010
40884854,jiteshpillaai,J,721109,1170,Mumbai,May-2009
79708561,Asli_Jacqueline,Jacqueline Fernandez,14051330,202,,Oct-2009
132385468,BeingSalmanKhan,Chulbul Pandey,38222008,24,MUMBAI,Apr-2010
613321095,MikaSingh,King Mika Singh,4207945,173,mumbai,Jun-2012
813286,BarackObama,Barack Obama,108917081,611754,"Washington, DC",Mar-2007
114501238,sussannekroshan,Sussanne Khan,610088,71,"ÜT: 19.109427,72.825723",Feb-2010
1196254680,NSaina,Saina Nehwal,8402331,577,India,Feb-2013
99642673,taran_adarsh,taran adarsh,3680564,179,"Mumbai, India",Dec-2009
2469605695,arjunk26,Arjun Kapoor,6128252,794,,Apr-2014
389974129,ritesh_sid,Ritesh Sidhwani,575560,120,Mumbai-India,Oct-2011
586361294,RonnieScrewvala,Ronnie Screwvala,2130370,293,Mumbai,May-2012
99918503,ImIshant,Ishant Sharma,2264007,60,"New Delhi, India",Dec-2009
121046433,ImRo45,Rohit Sharma,14930299,43,,Mar-2010
155927976,rioferdy5,Rio Ferdinand,10554871,613,www.neweraglobalsports.com,Jun-2010
253508662,juventusfc,JuventusFC,7341905,57,Allianz Stadium,Feb-2011
114423418,rpsingh,R P Singh रुद्र प्रताप सिंह,1574542,322,"Rae bareli, India",Feb-2010
138330579,MishiAmit,Amit Mishra,1354021,54,Delhi,Apr-2010
358814014,ashwinravi99,Ashwin Ravichandran,9698651,236,Chennai,Aug-2011
2809029114,ChennaiyinFC,Chennaiyin FC 🏆🏆,861166,98,Chennai,Sep-2014
34949757,aarbeloa17,Álvaro Arbeloa,6049324,1236,"Madrid, Comunidad de Madrid",Apr-2009
121033748,AnirudhChaudhry,Anirudh Chaudhry,287886,332,,Mar-2010
183387449,XabiAlonso,Xabi Alonso,11930664,536,,Aug-2010
1059194370,kobebryant,Kobe Bryant,14499233,509,,Jan-2013
186202772,DJBravo47,Dwayne DJ Bravo,1038819,0,,Sep-2010
60865434,KAKA,Kaka,29667500,305,,Jul-2009
280701704,jamesdrodriguez,James Rodríguez,18439360,295,"Madrid, Comunidad de Madrid",Apr-2011
558797310,ManUtd,Manchester United,20283139,129,"Manchester, England",Apr-2012
180505807,instagram,Instagram,36380296,62,,Aug-2010
92424604,MClarke23,Michael Clarke,2144133,629,"Sydney, New South Wales",Nov-2009
92945681,harbhajan_singh,Harbhajan Turbanator,10189709,128,India,Nov-2009
300392950,TwitterSports,Twitter Sports,15272596,1992,,May-2011
252753618,luisnani,Nani,3925469,176,,Feb-2011
59808841,YUVSTRONG12,yuvraj singh,4720718,378,"Mumbai, India",Jul-2009
361315016,ajinkyarahane88,Ajinkya Rahane,5594361,69,Mumbai,Aug-2011
109275593,ImZaheer,zaheer khan,5944164,204,,Jan-2010
333534411,officialpepe,Pepe,3564452,42,,Jul-2011
